ch1,ch2
4294,10756
3797,13260
14202,6989
13465,7652
11429,7833
8638,7391
5416,8312
6808,10193
7795,12012
8189,13261
7973,13714
7300,13254
6373,11934
5361,9941
4444,7869
5478,16823
8390,17697
11859,17710
15230,16867
17712,15407
18740,13768
18339,12230
16996,11045
15433,10298
14143,9906
13105,9685
12399,9399
11956,9110
11623,10134
11168,11369
10370,12094
9116,12124
7461,11631
5627,10892
3894,10116
5877,7680
8166,9441
9658,11466
9568,13278
7950,14222
5606,13801
4880,7916
4910,9154
4996,9599
5084,9469
5166,9203
5227,9188
5251,9627
5223,10583
5130,12221
5139,14173
5156,15712
5073,16445
5032,16372
5135,15806
5330,15141
5183,14689
4635,14517
3867,14525
4265,10510
4657,9654
4776,8388
4603,10397
4222,13900
10884,7465
10697,8427
9402,9036
7423,8874
5263,8073
4798,7518
5637,8649
6096,9617
6123,10049
5773,9854
5186,9036
4515,7686
4827,16761
7198,18479
9975,19275
12695,19034
14796,17967
15826,16479
15787,15020
15268,13915
14474,13248
13678,12895
13104,12578
12805,12611
12739,12255
12722,12046
12514,12949
11844,13914
10572,13988
8748,13498
6629,12654
4584,11616
5108,8267
7023,9447
8229,10650
8128,11479
6770,11509
4798,10518
4440,7073
4566,8911
4711,10022
4862,10346
5012,10194
5137,9996
5229,10128
5271,10784
5258,11958
5180,13926
5033,16040
5146,17560
5138,18064
5356,17564
5696,16440
5930,15219
5917,14196
5499,13222
4600,12562
3985,10058
4551,9616
4873,8740
4919,7867
4684,12035
4201,15769
8155,7743
8432,9256
7906,9958
6675,9905
5035,9210
4152,14944
5842,17469
7907,19090
10013,19641
11795,19018
13052,17866
13554,16624
13466,15709
13122,15295
12799,15290
12674,15371
12796,15093
13113,14962
13447,14458
13524,14201
13037,14300
11815,14523
9880,14269
7536,13347
5222,12168
4412,8427
5118,8792
5048,8787
4242,8219
4046,7157
4239,8621
4443,9380
4654,9524
4847,9387
5012,9348
5128,9698
5190,10601
5195,12262
5144,14648
5034,16971
4964,18572
5178,18982
5603,18174
6152,16533
6599,14583
6719,13196
6242,12347
5245,11291
4003,10234
3905,8290
4516,8141
4882,7843
5115,7193
5072,7466
4762,11326
4245,14655
6913,7960
7321,9387
7096,10392
6184,10440
4809,9630
3777,8795
4585,15727
6072,18131
7781,19084
9465,18603
10704,17351
11409,16298
11689,15535
11770,15304
11900,15577
12216,16059
12775,16252
13498,15624
14212,15047
14605,14396
14335,13475
13171,13875
11120,13638
8521,12653
5890,11370
3876,7226
4141,7560
4393,7530
4607,7442
4778,7565
4910,8088
4988,9446
5019,11522
5008,14084
4962,16653
4869,18689
5302,19223
6132,18116
7025,16027
7600,13523
7626,11020
7066,10396
5945,10013
