ch1,ch2
31319,8280
32471,9264
32368,9994
31067,10260
28845,10359
27762,10656
26720,10414
25205,10521
23370,10618
21912,10324
21679,10560
21087,10249
19953,10204
18313,9849
18135,9469
17687,9243
16608,8602
14937,8321
13642,7759
12191,7004
10572,6484
12880,6612
14814,7040
16550,7434
17899,7608
18742,7474
19210,7110
19367,6452
15550,6416
15195,6665
14731,6327
31668,6845
32825,7867
32623,8891
31116,9797
29905,10337
29582,10414
28442,10618
26761,10711
24760,10307
24423,10704
23779,10637
22811,10349
21494,10515
20895,10159
20846,10182
20185,9867
18863,9534
17900,9389
17717,8784
16872,8470
15452,7932
13950,7226
12722,6685
13974,6235
16092,6741
17954,7239
19361,7565
20175,7620
20368,7328
20029,6808
30877,6225
30361,7115
30759,7970
31255,8875
30561,9580
28899,9916
26629,9838
25805,10145
25196,10079
24313,10081
23237,10348
22207,10160
22347,9918
22127,10022
21422,9673
20175,9716
20284,9474
20008,9125
19042,9092
17526,8603
17432,8159
16924,7748
15876,7092
14381,6641
5410,6285
5919,6462
6420,6231
17233,6214
19135,6549
20569,6979
21321,7227
21355,7200
20772,6819
19722,6230
29932,6300
29992,6948
28884,7577
27690,8187
27728,8651
26950,8787
25605,8748
23985,8953
22244,8795
21925,9214
21835,9357
21596,9127
21093,8934
20781,9017
21120,8746
20934,8747
20154,8635
19359,8170
19477,8281
19000,8005
17970,7410
16983,7144
16898,6698
16290,6265
5083,7111
5864,7005
6577,6669
7215,6784
7781,6911
8294,6888
8771,6512
20932,6179
21851,6378
22073,6540
21592,6437
26160,6458
27224,6804
27284,7015
26976,6951
27509,6918
27059,6858
25780,7055
23979,7294
23309,7264
22791,7232
22046,7321
21215,7354
20354,7756
19429,7839
19425,7652
19847,7452
19990,7558
19737,7432
19807,7332
20116,7386
19888,7210
19109,7010
18825,7008
18910,6774
18407,6377
5305,6990
6414,7471
7495,7722
8466,7780
9267,7560
9882,7373
10424,7276
10980,6971
11480,6488
23535,6529
23992,7374
23895,7847
25232,8198
25704,8266
25269,7936
24049,7515
23635,6956
23028,6564
6240,6534
7621,7296
9007,7843
10271,8136
11347,8138
12268,7862
12932,7504
13382,7200
13689,6684
13910,6144
21172,6447
22466,7553
23193,8449
23225,8877
22535,9219
22547,9118
22592,8536
21967,7830
20866,7055
19520,6370
8550,6665
10156,7295
11869,7732
13374,7931
14540,7861
15303,7650
15685,7194
16072,6733
16279,6175
20208,6867
19931,8036
20826,8839
21183,9143
20941,9458
20139,9176
18942,8434
18679,7622
18164,6864
17839,6269
18814,6280
19213,6207
18895,6248
19266,6154
19119,6212
9184,6191
11020,6707
12934,7093
14698,7338
16123,7423
17205,7322
18032,7017
18403,6517
18609,6770
18505,7740
17986,8317
17947,8625
18052,8731
17731,8296
17089,7714
16280,7024
15455,6309
17859,6198
19006,6284
18982,6269
18623,6151
17955,6110
11393,6285
13289,6604
15112,6796
16829,6857
18398,6778
19451,6550
19939,6174
16049,6690
15879,6999
15437,7326
14816,7235
14490,6996
14625,6518
14965,6165
17874,6145
17075,6287
16520,6365
16412,6330
15619,6223
14341,6142
13080,6189
14738,6300
16617,6321
18314,6225
18869,6230
18515,6478
18315,6629
18200,6969
17333,7292
17540,7372
17172,7290
15872,7270
15322,6883
14663,6567
13081,6203
5080,6947
5613,6155
19076,6166
18852,6451
19960,6835
20348,7317
19899,7583
20060,8033
19570,8450
19191,8428
18959,8569
17522,8328
16452,7858
15631,7597
13720,6910
11049,6548
5196,8728
5710,8127
6228,7343
6748,6524
19973,6410
20923,6957
21132,7297
21755,7749
22839,8308
22758,8492
22344,9201
21935,9452
20791,9546
20363,9532
18492,8857
17123,8806
