ch1,ch2
29077,45084
29609,42358
30418,37949
31486,32834
32692,28574
34241,24326
35519,22007
36301,23167
36465,24608
36060,26110
35250,27488
34233,28575
33178,29254
32207,29452
31358,29166
30640,28449
30684,28033
30800,27546
30910,27006
30965,26432
30916,26153
30838,26174
31182,26071
31636,25950
32314,25780
33493,25612
34513,25529
35197,25487
35447,25189
35290,24609
34862,23825
34378,23217
34037,23176
33956,23468
34189,24132
35093,25095
35894,26156
36303,27037
36101,27491
35107,27311
33394,26485
31549,25137
30673,23472
29784,21717
28996,20049
28926,18579
29044,17384
29229,17299
29450,19200
29679,22598
29898,26429
30113,30103
30356,32932
30660,34361
31061,34130
31650,33300
32185,31789
32646,30233
33058,27875
33495,24587
34031,21107
34725,17984
35569,15886
36489,15054
37496,14752
38489,14779
38984,14937
38863,15090
38146,15172
36983,15113
35604,14881
34257,14473
33127,14185
32303,14017
31789,13721
31510,13372
31379,13070
31308,12827
31247,12922
31191,13162
31169,13301
31235,13035
31430,12097
31980,10425
33299,8286
41188,6596
41488,9857
41396,13446
41048,16099
40461,16640
39707,17528
38825,17301
37878,14955
36907,11645
36136,8570
37195,7484
38589,9762
40108,12057
41515,14195
42672,16103
43473,17803
43912,19501
44080,22309
44041,24988
43811,27365
44146,28998
44829,29377
45133,28230
44955,29838
44240,33908
43037,37081
41414,38302
39479,40644
37304,43131
34895,42905
32525,41057
29617,38238
26221,35209
22487,34790
18655,32969
14993,29954
11707,26313
8933,22564
6704,19729
6782,20849
7782,21026
8824,19596
9864,17612
10552,17541
11526,17445
12885,17349
14593,17182
16600,16868
18767,16424
20860,16479
22629,20279
23820,23925
24350,27122
24247,29587
25618,31198
27033,31947
28019,32048
28652,31788
30124,32055
31318,32187
32041,32526
32322,33750
32308,35773
32228,38283
32179,40971
32232,43527
32369,45727
32520,47415
32595,48467
32567,48752
32479,49461
33518,48320
34670,45128
35736,40615
36640,34999
37281,28715
37516,24220
37300,21014
37394,22096
37141,23336
36315,24610
35062,25793
33610,26777
32166,27477
31143,27853
30634,27896
30705,27640
31479,27146
32221,26485
32794,25706
33173,24842
33395,24063
33559,23725
33732,23477
33974,23473
34303,23490
35762,23491
37097,23357
37894,22919
37978,22391
37625,21718
36795,20832
35689,19927
34602,19487
33708,20310
33134,22470
32827,24200
32676,24919
32458,24342
31998,22633
31132,21284
29833,20611
28227,19678
27034,18627
26912,17564
26544,16544
25869,15591
25062,14758
25498,14766
26620,16950
27486,20083
27842,23646
27707,27054
27141,29655
26860,30925
27467,30705
28117,29174
28756,26742
29433,23869
30055,21281
30568,18814
31021,16712
31499,15387
32078,14741
32796,14582
33623,14714
34440,14928
35075,15069
35346,15048
35276,14873
34751,14580
33870,14707
32814,14901
31993,15094
31096,15182
30292,15048
29852,15106
29599,15142
29475,14862
29431,14253
29406,13329
29433,12233
29501,11395
29563,10054
29598,8290
35333,8596
35612,11759
35632,14111
35420,16786
35198,18867
34892,18320
34507,15554
34114,11913
33774,8645
37220,7171
38777,8211
40336,9995
41831,11729
43184,13352
44336,15202
45254,17908
45924,20605
46589,22976
47065,24648
47390,25166
47840,25905
47901,30118
47485,34138
46650,37199
45852,38664
45202,41945
44300,42201
43056,41689
41328,41972
38937,39108
35754,36819
31856,36289
27453,33735
22865,29785
18423,25267
14470,21218
11461,18352
8905,18746
6814,19237
7261,22151
8934,23007
10660,22360
12306,23720
13716,23386
15422,21533
16747,18768
17506,17401
17863,16998
18773,16712
20102,16383
21580,16368
23037,16509
24290,16548
25115,17193
25789,20379
27804,23628
29518,26754
30771,29500
31522,31678
33054,33176
34478,34106
35460,34711
36700,35318
37974,36255
38524,37712
38584,39719
38369,42100
37805,44542
37218,46691
36835,48335
36739,49328
37201,49607
38295,50194
39452,50239
40620,48639
41711,45204
42650,40329
43383,34827
43819,28672
43847,23289
43391,20362
42477,19937
41162,20662
39610,21707
38008,22700
36554,23512
35404,24068
34612,24316
34217,24239
34099,23859
34140,23240
34956,22448
35570,21554
35889,20617
35956,20026
35885,20625
36042,20805
36441,21018
36901,21149
37315,20992
38170,20527
38927,19884
38976,18837
38183,17449
36634,16374
34539,15731
32729,16811
32309,18625
31165,20649
29403,22300
28894,22974
29613,22350
29646,20573
28990,18151
27844,16426
26504,14588
25271,13725
24350,13049
23873,14075
23808,13962
24047,13069
24389,12985
24632,15165
24557,17786
24026,21528
23144,25153
23807,27816
24186,28901
24094,28186
23583,26043
22849,23142
23624,20357
24257,18302
24733,16626
25128,15489
25528,14933
26055,14910
26771,15244
27670,15725
28676,16116
29615,16225
30272,16045
30487,15668
30225,15221
29598,14817
28968,14471
28398,15120
27734,15803
27116,16287
26674,16337
26434,15848
26422,15406
26575,14484
26816,13037
27147,11234
27561,9198
28028,7560
31345,6791
31924,9186
32307,12961
32523,16544
32576,18396
32499,17757
32354,15091
32207,11679
32117,8653
32171,6530
34850,6963
36122,8180
37498,9057
38869,10625
40173,12179
41389,13235
42452,14099
43490,14586
44703,17096
45788,19582
46639,20825
47196,20872
47356,23919
47196,28192
48208,32179
48905,35145
49360,38360
49635,41062
49671,40659
49356,42455
48427,41681
46668,38191
43851,37647
39917,36403
35079,32813
30631,27823
26365,23464
22022,19912
17887,16917
14161,17141
11441,17634
9129,18691
7202,19990
7111,19749
8711,21443
10597,23305
12698,24444
14910,24310
17016,25570
18795,26195
21359,25267
23380,23419
24565,21270
25004,20245
24929,20990
24685,21058
24608,20262
24895,19007
25624,18061
26774,19487
28182,20089
29627,20442
31263,20639
33201,22832
34896,26427
36371,29876
38167,32890
39992,35210
41764,36831
43239,37865
44174,38549
44401,39132
44004,39826
44344,41722
44291,43670
44054,45339
43881,46497
43915,46995
44134,46843
44435,47281
44737,46776
45629,44994
46729,41771
47581,37248
48156,32127
48389,26851
48228,21754
47645,19617
46600,18555
45191,18467
43553,18509
41853,18634
40297,18819
39030,18921
38154,18981
37635,18770
37558,18306
37710,17621
37762,16810
37564,15966
37050,16041
36858,17039
37045,17838
37073,18382
37001,18640
36870,18585
36677,18638
36383,18551
36213,17980
35335,16936
34648,15592
33566,14216
32038,13544
30454,14016
28326,15227
27349,16785
28582,18133
29428,18757
29661,18337
29149,16941
27936,14955
26264,13202
24432,11848
22738,10498
21372,11556
20414,12432
19822,12065
19474,10660
19201,11873
18871,14370
19470,17361
20121,20320
20605,22539
20759,24770
20929,25973
21178,25528
21048,23768
20651,21345
20109,18838
19592,16664
19207,15040
19039,14371
19109,14553
19429,15199
19944,16115
20572,16991
21207,17514
21681,17511
