ch1,ch2
6068,8388
5741,9577
4619,10194
3190,10546
1936,10594
2627,7138
3057,7981
3442,8014
3601,7115
3421,7212
3431,7767
3262,7620
3316,6901
3728,8071
4529,8789
5240,8263
6080,6867
2454,7741
2006,8951
3077,9717
4783,10087
6342,10370
7512,10585
7811,10861
7153,11102
5756,10977
4072,10373
2568,8890
5755,6496
4803,6950
3289,6861
2012,6713
5614,7006
5230,8452
4149,9300
2839,9793
3118,6592
3537,7413
4030,7556
4256,6751
4083,6426
3632,6253
3523,6787
4119,7390
4636,7030
3048,9104
4675,9307
6127,9347
6986,9428
7221,9683
6693,10013
5548,10073
4120,9562
2768,8275
6129,7144
5446,7981
3972,8577
2591,8587
4563,6353
3740,7372
2661,7769
2346,6322
2509,7014
2327,7596
3382,6393
3722,6589
2962,8113
4428,8115
5666,7945
6339,7831
6336,7904
5748,8101
4877,8140
3813,7785
2756,6790
5644,7626
5336,9150
4150,9952
2881,9994
2064,9543
3194,6297
3238,7051
2860,7692
2159,8071
1897,6768
2781,6834
3934,6687
4878,6307
4431,8063
4456,9838
3709,10679
2751,11027
2091,10495
11214,6280
3966,7064
3350,7851
2470,8140
1940,7055
1953,7722
2934,8131
3134,9864
2802,10891
2242,11319
9234,6458
9467,6755
1898,13252
1984,11084
1961,8833
4833,7005
3877,7770
2816,7980
1960,7602
2338,7188
3058,6662
2071,6844
4320,6298
5938,7473
7487,7694
8516,7158
8948,6335
8107,6861
8488,7243
9219,6420
2147,15089
2330,14387
2394,12880
2320,11290
2120,9337
2985,7389
5824,6788
4588,7572
3313,7824
2846,7484
3331,7225
4099,6573
2717,7002
2349,7993
2138,6261
3311,8138
4783,9449
6141,9823
7133,9357
7742,8532
7983,7744
7877,7152
7605,6692
7350,6690
7327,7291
7645,7543
8204,6610
2098,14152
2388,14827
2581,14739
2646,14000
2553,13056
2927,11532
4100,9632
5029,7687
6695,6553
5269,7482
3838,7946
3714,8248
4095,7802
4645,6916
2778,7034
2531,8501
1917,8940
1910,6347
2204,7545
2182,7677
1933,6314
2103,7685
2267,9755
3367,11016
4538,11444
5540,11142
6222,10473
6542,9804
6563,9223
6418,8665
6252,7870
6185,7590
6283,7525
6535,6402
2121,13134
2397,14120
2594,14485
2930,14245
3475,13814
4128,12763
4977,11168
5662,9240
5774,7213
7080,6444
5636,7632
4267,8568
4283,9133
4362,8800
4520,7661
2101,6903
1976,8805
2299,8954
2320,8346
2006,6365
2002,10372
2321,11698
2896,12286
3667,12332
4320,12089
4740,11727
4913,11243
4891,10449
4767,9352
4640,7807
4634,7118
2827,12082
3856,13437
4797,14013
5540,13837
6056,13547
6329,12859
6464,11617
6358,9953
5926,8058
6776,6493
5498,8020
4589,9180
4425,10087
4188,9957
3960,8842
3803,7268
2060,7331
2106,9427
2766,9394
2917,8184
2053,10989
2758,11938
3650,12557
4516,12933
5048,13077
5079,12865
4536,12029
3495,10390
3192,8144
2268,8639
3611,10426
5227,12063
6799,13211
8004,13771
8682,13736
8853,12978
8591,11989
7913,11076
7052,9788
5903,8294
4768,6749
5965,6594
5029,8496
4767,9652
4442,10586
3937,10802
3382,9882
2918,8379
2760,6923
8112,6866
7515,7393
6384,7162
5179,6289
2375,6675
2013,6779
1980,11186
2153,11175
2253,10268
2235,8953
2099,7685
2480,7008
2224,6266
2443,9936
3377,9382
3699,7899
2550,10568
3752,11868
5232,13008
6452,13791
6900,13912
6362,13016
5082,10916
3571,8080
2377,7793
3849,9232
5801,10452
7909,11684
9700,12505
10943,12967
11272,12873
10778,12357
9668,11386
8408,10184
6908,9071
5555,8045
4230,6957
5456,6614
5515,8785
5246,10146
4766,10318
4017,10906
3155,10272
2399,8959
2389,7623
3143,6798
4186,6476
5325,6585
6220,7167
6539,7991
6113,8659
5304,8839
4317,8663
3640,8239
2919,7685
2052,7104
2569,6764
2391,7444
2144,7554
2377,6373
3023,6960
2974,7900
3045,9703
3226,11470
3466,12325
3671,11972
3735,10775
3594,9255
3272,7852
2851,6827
2410,6289
2037,6227
2300,6720
1896,6856
2605,9801
3741,8901
4222,7666
2112,8649
3508,10515
5221,12359
6973,13749
8018,14158
7900,13153
6735,10707
5061,7455
2346,6433
3619,7983
5430,9130
7595,10136
9707,10813
11402,11445
12161,11631
11945,11318
10962,10763
9470,10150
7713,9344
6047,8624
4671,7793
3479,6998
2917,6256
5843,6275
6122,8561
5963,10183
5365,10286
4512,10091
3462,9817
2449,8800
2070,7677
2629,6975
3370,6821
4144,7078
4730,7673
4920,8482
4607,9328
4048,10009
3364,10346
2808,10277
2343,10300
2181,6791
2292,7732
2255,8251
2036,7934
2129,6469
4965,6242
4770,7599
4690,8977
4757,10957
4954,12532
5303,13040
5599,12412
5646,11063
5346,9488
4723,8169
3913,7114
3092,6489
2394,6377
2496,6843
1931,8227
1964,6245
2445,9231
3645,8493
4266,7138
2910,8689
4686,10938
6561,12725
8039,13323
8450,12247
7728,9654
6280,6435
3270,6293
4616,7558
6367,8444
8328,9191
10042,9621
11081,9757
11252,9715
10648,9409
9499,8781
8013,8354
6340,8084
4739,7974
3539,7757
2647,7302
2439,6605
6577,7635
6645,9432
6153,9729
5186,8571
3993,8569
2802,7903
1912,7045
2269,6424
2766,6345
3263,6726
3614,7423
3688,8332
3427,9310
3001,10188
2539,10806
2184,11418
2008,8601
2045,8890
1946,8585
6694,6941
6494,8385
6455,9910
6612,11758
6933,13153
7311,13374
7568,12613
7510,11274
7016,9780
6108,8514
4952,7531
3799,6953
2855,6815
2082,7104
2024,8422
1963,8152
2747,6442
2532,7744
1900,8617
2720,6865
2110,8188
2076,8685
3127,7852
3690,6473
2272,6566
3841,8761
5701,10602
7370,11287
8235,10322
8083,7960
5269,6719
6630,7316
7969,7738
8963,7964
9363,7963
9125,7746
8387,7310
7327,6782
6078,6369
4729,6658
3428,7235
2469,7669
1981,7649
1979,7056
2182,6265
6998,7876
6683,8417
5811,7708
4611,6946
3422,6511
2887,6517
2870,7462
2625,8490
2261,9474
1974,10419
1947,11359
8066,7049
7871,8534
7814,10256
7940,12022
8224,13126
8564,13208
8784,12487
8685,11306
8125,9999
7097,8827
5754,7959
4368,7467
3251,7312
2355,7644
2569,6283
2215,9962
2241,9899
1985,8955
2836,6659
2703,7808
2085,8592
2129,8511
2145,7460
3430,7303
2832,8425
2267,9104
2243,7320
4877,7701
6573,8373
7752,7735
2388,6305
6733,6622
5989,6509
2848,6297
3076,7332
3382,8464
3731,9594
3624,10642
3028,11523
2196,12246
8574,6562
8332,8077
8197,9741
8225,11273
8403,12223
8644,12349
8794,11831
8674,10915
8139,9852
7156,8860
5842,8100
4429,7658
3268,7518
2371,7832
2784,7026
2593,7369
2485,7006
2120,10278
2232,10505
2070,9834
2354,7035
2863,6509
2398,7141
2561,6973
6891,6225
5005,6690
4357,7774
3675,8800
3034,9424
2471,9565
2009,9238
2632,6341
2270,8680
5010,6465
5584,7562
6036,8681
5734,9811
4898,10889
3518,11736
2112,12032
7962,7093
7665,8487
7509,9584
7490,10418
7539,10716
7534,10489
7334,9879
6827,9065
5984,8241
4891,7580
3721,7186
2674,7063
1926,7308
2309,6301
3298,6681
2987,7418
2722,7651
2544,7279
2402,6257
1952,9700
2584,7303
4305,6228
5543,6856
6297,7103
6574,6974
6605,6801
6498,6639
6203,6872
5766,7496
5235,8405
4665,9368
4118,10021
3618,10228
3032,9983
2412,9285
1924,8093
3078,7783
2664,10399
1990,12737
7652,6892
8035,7964
7775,9150
6746,10352
5024,11347
3073,11715
6473,7070
6100,7924
5854,8343
5679,8485
5488,8499
5189,8147
4718,7549
4067,6877
3295,6310
2428,6468
3233,6865
2920,7085
2637,6736
2613,6440
3336,6351
4555,7042
5502,7385
6089,7348
6378,7252
6527,7351
6486,7759
6280,8313
6029,9235
5740,10002
5500,10743
5124,11081
4481,10998
3579,10466
2609,9420
2039,7823
2738,8622
2310,11329
8841,6598
9175,7496
9246,8863
8411,10237
6326,11297
3988,11568
2145,10728
4023,6561
3714,6585
3426,6291
2643,6507
1900,6932
3721,6453
4808,6957
5631,7146
6174,7356
6480,7743
6551,8432
6527,9048
6419,9907
6470,10637
6455,11343
6230,11861
5556,12003
4462,11727
3302,10944
2526,9563
1999,7663
1920,6231
3936,6453
6672,6400
7519,6412
8389,6306
9112,6414
9883,7356
10263,8787
9349,10151
7214,11121
4689,11498
2572,10669
2926,6506
2134,7205
5356,6281
6091,6941
6439,7619
6478,8618
6412,9384
6441,10179
6669,10983
6800,11605
6577,12325
5904,12724
4805,12761
3514,12344
2793,11345
2297,9730
1934,7714
2027,13500
2762,11635
3173,9915
3121,8571
2736,7106
3141,7318
3183,7575
3374,6921
4549,6777
5378,7656
6343,7821
7236,7335
8287,6557
10168,7308
10706,8802
9816,10161
7806,11113
5163,11243
2898,10192
3140,6476
2294,7278
6340,6918
6293,8144
6046,9145
6060,9885
6317,10843
6592,11479
6391,12338
5624,12991
4395,13347
3224,13341
2788,12843
2415,11724
2133,10065
1948,8142
1926,11225
1957,11469
2048,12229
3382,11325
4626,9681
5173,8172
4781,6801
2856,6864
2861,7974
2531,8171
2773,7467
3005,7280
3741,8602
4623,9246
5652,8996
6894,7973
8063,7375
9328,7924
10570,8479
11075,9397
10317,10346
8266,10875
5553,10715
3175,9568
2279,6746
3122,6343
2258,7029
3919,6544
5951,7037
5547,8309
5498,9152
5747,10144
5873,10972
5582,11822
4831,12716
3732,13370
2799,13772
2590,13815
2354,13313
2149,12264
2026,10604
1987,8522
1972,6352
1956,11273
1985,11564
2711,9834
4525,8829
6148,7406
3416,6538
3771,7642
3669,7962
3220,7460
3020,6305
2103,6496
2465,6450
2395,6646
2252,6290
3018,7618
2354,9080
2799,10152
3698,10435
4961,9723
6420,8873
7939,9593
9596,9958
11178,10014
11757,10192
10971,10179
8839,10201
5997,9666
3462,8382
2172,7343
1999,6397
4079,6621
3088,7397
1995,7765
5174,6603
4719,6608
5041,6955
4834,8063
4943,8820
4945,9882
4628,10673
3817,11797
2823,12747
2535,13551
2382,14132
2223,14318
2093,13901
2020,12677
1995,10776
1974,8513
1891,6262
1902,11213
2857,7340
4736,6257
4414,6410
4664,6987
4441,6877
2513,6693
2451,7086
3060,6760
1942,6336
1916,6587
1899,8496
1906,11067
2015,10473
2157,8247
2788,6253
2715,7123
2486,7506
2238,7010
2019,6407
4929,6973
4607,8226
3890,9488
3073,10615
2427,11285
2839,11111
4139,9967
5824,10301
7866,11172
10142,11418
11994,11113
12747,10368
11912,9770
9579,8965
6525,8017
3775,6835
1959,6967
5172,6437
6169,6498
1976,6775
4776,7091
3689,7989
2470,8369
5759,6383
4230,6471
4119,7359
3997,8116
3671,9064
3072,10134
2262,11379
2132,12595
2015,13705
1958,14494
1937,14662
1929,13931
1904,12351
2310,7030
2263,7426
2892,7724
3606,7778
4193,7387
4205,6460
2081,6244
2228,6425
2105,7448
2090,8731
2134,9208
2240,8701
2387,6921
2897,6838
2663,7883
2323,8031
1971,7090
2239,6616
2682,6942
3408,6660
4494,7999
5134,9116
5100,10099
4488,11005
3631,11716
2844,11931
2372,11384
3471,9885
5324,10468
7761,11402
10412,11664
12612,11024
13595,9649
12822,8406
10372,7259
5563,6721
5380,6425
2849,6399
2631,7289
2130,7924
5156,6917
4038,7848
2794,8265
2013,6767
2845,6867
2287,7844
2025,7299
2235,8031
2386,8518
2412,8496
2252,8449
1965,6755
1946,6747
2441,6561
3002,6959
3561,7865
4035,8811
4330,9495
4397,9445
4508,8790
4075,7596
2250,6493
2231,7555
2280,7916
2396,7215
2695,7581
2380,8229
1998,7644
3827,6449
4012,6670
3735,6875
3027,6500
2635,8390
3692,9681
4524,10612
4817,11328
4489,12022
3736,12423
2868,12242
2276,11191
2730,9208
4539,9209
7060,10211
9926,10443
12398,9595
13622,8071
13020,6419
4835,6300
4616,6458
5232,6356
2892,6323
5108,6520
4117,7271
3015,7750
2070,7932
1990,7457
2701,6617
3168,6353
3560,6550
3738,6512
3561,6275
1938,6501
2326,6513
4701,6597
5230,7974
5551,9885
5606,11508
5381,12184
4967,11632
4286,10589
3348,8865
2406,6532
2285,6610
2358,6837
2579,6772
2307,7561
2159,7219
3715,6515
3972,7126
3802,7381
3145,7024
1938,9308
2748,10362
3551,11166
3981,11721
3875,12135
3334,12287
2612,11759
1952,10291
1916,8155
3434,7262
5715,8106
8467,8097
10984,7239
4921,6971
3994,7056
4012,6690
3057,7123
2204,7451
2536,6946
1895,6816
6795,7597
6965,10116
6785,12613
6275,14289
5682,14520
4824,13881
3795,12588
2729,10116
2780,6267
3441,6420
3347,6746
2852,6587
2020,10606
2651,11134
3053,11485
3060,11680
2676,11493
2087,10581
4059,7218
3344,7679
3041,6932
3615,6261
2849,6560
2160,6979
2317,7014
2213,9237
2366,7974
2234,6405
2683,6626
2132,7009
1943,7076
7724,6706
7869,9609
7602,12835
6929,15534
6167,17076
5156,17231
4038,16683
2865,14448
2253,12673
2353,13022
2141,12758
2858,6996
2389,7530
2313,6985
2609,6232
2061,6557
2078,7040
2771,6437
2016,11225
2766,10316
3005,8976
2671,7385
2073,7097
1941,7956
8060,8618
7881,12381
7211,16015
6344,19109
5239,20251
4062,20624
2830,18932
2413,6333
3255,6245
2401,12881
3316,11417
3586,9743
3021,8125
7611,7447
7608,11544
7052,16242
6178,20382
5050,22496
3897,23788
2785,22817
2316,6618
2152,6498
2111,7483
2125,9566
1958,11023
2670,6431
2727,6663
2507,6537
2148,6343
2655,14461
3625,12879
3848,10236
3165,8491
2038,6709
1921,6453
6745,6365
6907,10637
6504,15837
5725,20715
4646,23660
3656,25723
2669,25532
1922,15263
2762,9734
2407,7034
